severity,type,url,detail
"P0","sample_openapi_live","https://docs.oviond.com/api-reference/openapi.json","Still serves Mintlify OpenAPI Plant Store sample spec"
"P2","thin_page","https://docs.oviond.com/activity-log/overview","108 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/activity-log/overview","user_id, resource_type, resource_id"
"P1","destructive_missing_warning","https://docs.oviond.com/agency/archive","Destructive/risky page has no Mintlify Warning component"
"P2","thin_page","https://docs.oviond.com/api-keys/delete","111 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api-keys/revoke","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/account/delete-account","72 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/account/delete-account","Supabase, S3, users table, Stripe"
"P1","destructive_missing_warning","https://docs.oviond.com/api/account/delete-account","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/account/get-account","36 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/account/get-account","accounts row"
"P1","thin_page","https://docs.oviond.com/api/account/get-account-usage","36 words"
"P1","thin_page","https://docs.oviond.com/api/activity/list-activity","35 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/activity/list-activity","resource_type"
"P1","thin_page","https://docs.oviond.com/api/archive/delete-permanently","32 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/archive/delete-permanently","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/archive/get-archive-counts","34 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/archive/get-archive-counts","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/archive/list-archive","32 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/archive/list-archive","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/archive/restore-items","32 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/archive/restore-items","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/assets/create-asset","32 words"
"P1","thin_page","https://docs.oviond.com/api/assets/delete-asset","31 words"
"P1","destructive_missing_warning","https://docs.oviond.com/api/assets/delete-asset","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/assets/duplicate-asset","35 words"
"P1","thin_page","https://docs.oviond.com/api/assets/get-asset","34 words"
"P1","thin_page","https://docs.oviond.com/api/assets/list-asset-tags","39 words"
"P1","thin_page","https://docs.oviond.com/api/assets/list-asset-widgets","37 words"
"P1","thin_page","https://docs.oviond.com/api/assets/list-assets","34 words"
"P1","thin_page","https://docs.oviond.com/api/assets/update-asset","31 words"
"P1","thin_page","https://docs.oviond.com/api/automations/bulk-delete-automations","40 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/automations/bulk-delete-automations","cron scheduler"
"P1","destructive_missing_warning","https://docs.oviond.com/api/automations/bulk-delete-automations","Destructive/risky page has no Mintlify Warning component"
"P1","thin_page","https://docs.oviond.com/api/automations/create-automation","35 words"
"P1","thin_page","https://docs.oviond.com/api/automations/delete-automation","39 words"
"P1","internal_or_vendor_leak","https://docs.oviond.com/api/automations/delete-automation","cron scheduler"
"P1","destructive_missing_warning","https://docs.oviond.com/api/automations/delete-automation","Destructive/risky page has no Mintlify Warning component"
